ID,E-value,Label
O76840,3.255030776188396e-182,1
P19761,3.5144369266659557e-68,1
Q8WPI3,8.16057956509713e-49,1
B6ZIW0,5.918001830355941e-48,1
Q5VJG2,3.7994207153079705e-45,1
P00978,2.9854859185177616e-42,1
P83609,4.134341059354706e-41,1
Q9TWG0,4.0820523918067564e-30,1
C0HJU7,7.314941625860842e-30,1
P00982,2.0237234779086317e-29,1
C0HJF3,4.3988017614999755e-29,1
P00991,5.671142752421273e-29,1
C0HLA8,9.617491168920247e-29,1
E7FL11,1.3500671798226986e-28,1
B5L5R1,2.11061536599413e-28,1
P81902,4.413722025810404e-28,1
B5KL31,5.0066845902850415e-28,1
P25660,6.188717839318012e-28,1
P0DN14,7.336505832441802e-28,1
A6MGX9,9.771611092252071e-28,1
B2KTG1,1.0538782886880512e-27,1
H6VC06,2.6188246230333365e-27,1
Q6ITB2,4.36770575840809e-27,1
A8Y7N4,4.618128544070457e-27,1
C1IBY4,7.146425125747313e-27,1
A7X3V4,8.3479310460174e-27,1
Q2ES48,8.877835556412587e-27,1
P0DMX0,1.291032752262999e-26,1
P0DMJ3,1.307983070916994e-26,1
Q8AY42,1.584781770768149e-26,1
P0DQQ9,1.1471640350501546e-25,1
D5J9Q8,1.1485303065122022e-25,1
P0DJ50,1.446635366963492e-25,1
B5L5R6,3.148782130214657e-25,1
Q29100,1.7535869283469228e-24,1
Q29143,1.948941810974882e-24,1
D2Y489,2.7591652642353743e-24,1
P0DJ76,4.7321357834243786e-24,1
D2Y490,6.857075539206257e-24,1
P26227,1.1743153920514508e-23,1
P0DMJ1,7.708097340501538e-23,1
D2Y2Q7,1.6445069277954351e-22,1
D2Y2Q1,5.842156658129036e-22,1
B2ZBC0,1.6938236041870358e-21,1
B5L5Q3,1.8764072894945386e-21,1
Q02388,7.561947870474012e-21,1
P0DJ67,8.254063892857216e-21,1
Q2UY09,1.0116036494994071e-20,1
D2Y2F3,3.246935582043683e-20,1
P0DJ64,3.246935582043683e-20,1
D2Y2F7,3.411557896891362e-20,1
D2Y2F9,5.05244192696149e-20,1
P0DJ68,1.1109514550824576e-18,1
Q9BQY6,3.86056524319376e-14,1
P26226,5.1224266690543514e-14,1
O62247,7.834432100517014e-09,1
P84555,1.1293097258349842e-08,0
P40500,1.3784208791002045e-06,0
P71089,8.882612071510465e-06,0
Q8MVZ3,2.1821011873417055e-05,0
P0CA94,2.2257745153936012e-05,0
Q91694,2.7750021625605254e-05,0
P54763,5.3277774800054225e-05,0
P54761,7.82118264890399e-05,0
P07081,7.964743447224874e-05,0
Q55593,0.0001234450124872,0
Q5QLS7,0.000127639908372,0
Q8D219,0.0001345868626729,0
Q6GZW6,0.0001389751109284,0
P11212,0.0001622197214898,0
Q15375,0.0001803675291786,0
Q8BJ51,0.0001955458282163,0
P38692,0.0002072660282031,0
Q9NI62,0.0002149533027415,0
O14514,0.0002149711368239,0
P27381,0.0002467344883494,0
A8MQA2,0.0002783228396509,0
A8H5C4,0.0002955270718239,0
Q7ZXB1,0.0003352298434539,0
Q62635,0.0003610479287095,0
O76357,0.0003619966820265,0
B0TRI6,0.0003848769587068,0
A9KFV0,0.0003876742959733,0
B6IZM7,0.0003923169908775,0
Q2G1Q2,0.0004110659877229,0
Q1RI52,0.0004266566003701,0
O43934,0.0004457211410006,0
Q98SN7,0.000450331095541,0
A1L2T6,0.0004793512203777,0
P26692,0.0004849700985448,0
Q3C256,0.000490347954802,0
O62984,0.000547142190693,0
Q8MX31,0.0005491516041415,0
P79291,0.0005665716569501,0
A0Q7L2,0.0005982277843734,0
A1JJ92,0.0005995703578363,0
P66768,0.0006207021890182,0
P51504,0.0006498148834646,0
P85042,0.0006721852787699,0
P81245,0.0007208069611894,0
P25831,0.0007414526340984,0
P33533,0.0007479859456306,0
Q9SQQ6,0.0007808593860757,0
P78688,0.0008505907513017,0
O48409,0.0008828492217606,0
Q6JB14,0.0008982615594462,0
P03460,0.0009077520781576,0
Q9ERK7,0.0009177310293429,0
P09765,0.0009323346471719,0
B1P1G7,0.0009485998195146,0
Q6JB10,0.0009508577945489,0
P03464,0.0009698230905835,0
Q7XSB2,0.0009948245788805,0
Q6CTK9,0.000996513191403,0
P05897,0.0010046782855993,0
A1RSJ7,0.001044158818774,0
Q8I0L5,0.0010476066843541,0
Q54M64,0.0010685383130955,0
B1P1H1,0.0011131118381648,0
Q31F18,0.0011423514612936,0
Q65242,0.0011749112804889,0
Q474X7,0.0011800734623201,0
P54764,0.0011916991359169,0
Q8TEB1,0.0012022447201316,0
P44643,0.0012112680414319,0
Q7PUD7,0.0012290674296871,0
P77296,0.001234264010367,0
Q8ZST4,0.0012355599135332,0
P18537,0.0012360750961194,0
Q8BH79,0.0012526250347372,0
Q2KJG4,0.0012633021587925,0
B4TMD3,0.0012843858603283,0
Q99735,0.0013061737983635,0
P45945,0.0013355949531384,0
P20305,0.0013609955979011,0
Q9D1D6,0.0013747113689852,0
Q08463,0.0013847371349331,0
Q400C7,0.0014073943763839,0
B1P1E4,0.0014085422074226,0
P21552,0.0014331647472915,0
O75973,0.001434646859771,0
Q2QLA5,0.0014470600347144,0
Q32001,0.0014632319545479,0
A0A3G1QTT3,0.0014731920216828,0
Q8EXA3,0.0014747514244373,0
B7NVY9,0.0014925892210604,0
P0C9M7,0.0015043563128976,0
Q4UNK5,0.0015077655477375,0
Q92JR6,0.0015097041365679,0
Q31XE5,0.0015121645742725,0
Q8NGQ1,0.0015280595176628,0
Q6NDR7,0.0015537919500313,0
D4ATS1,0.0015678658478029,0
A8EX71,0.001581635553632,0
